"papername" "posttime" "count_of_read" "paperlink"
"216" "EUR/USD-20120919" 2012-09-19 "1373 次阅读" "http://blog.sciencenet.cn/blog-556556-614391.html"
"217" "R语言：Project Euler Problem 27" 2012-09-19 "1501 次阅读" "http://blog.sciencenet.cn/blog-556556-614324.html"
"218" "R语言：Project Euler Problem 26" 2012-09-18 "1288 次阅读" "http://blog.sciencenet.cn/blog-556556-613973.html"
"219" "R语言：Project Euler Problem 25" 2012-09-17 "1182 次阅读" "http://blog.sciencenet.cn/blog-556556-613763.html"
"220" "EUR/USD-20120917" 2012-09-17 "1313 次阅读" "http://blog.sciencenet.cn/blog-556556-613659.html"
"221" "R语言：Project Euler Problem 24" 2012-09-17 "1377 次阅读" "http://blog.sciencenet.cn/blog-556556-613615.html"
"222" "R语言：Project Euler Problem 23" 2012-09-16 "1410 次阅读" "http://blog.sciencenet.cn/blog-556556-613243.html"
"223" "R语言：Project Euler Problem 22" 2012-09-15 "1674 次阅读" "http://blog.sciencenet.cn/blog-556556-613006.html"
"224" "R语言：Project Euler Problem 9" 2012-09-15 "1456 次阅读" "http://blog.sciencenet.cn/blog-556556-612895.html"
"225" "分形最美47" 2012-09-14 "957 次阅读" "http://blog.sciencenet.cn/blog-556556-612766.html"
"226" "EUR/USD-20120914" 2012-09-14 "1081 次阅读" "http://blog.sciencenet.cn/blog-556556-612762.html"
"227" "R语言：Project Euler Problem 10" 2012-09-14 "1155 次阅读" "http://blog.sciencenet.cn/blog-556556-612629.html"
"228" "EUR/USD-20120913" 2012-09-13 "1025 次阅读" "http://blog.sciencenet.cn/blog-556556-612396.html"
"229" "R语言：Project Euler Problem 11" 2012-09-13 "1348 次阅读" "http://blog.sciencenet.cn/blog-556556-612315.html"
"230" "R语言：Project Euler Problem 12" 2012-09-12 "1322 次阅读" "http://blog.sciencenet.cn/blog-556556-612088.html"
"231" "EUR/USD-20120912" 2012-09-12 "982 次阅读" "http://blog.sciencenet.cn/blog-556556-612020.html"
"232" "分形最美46" 2012-09-12 "909 次阅读" "http://blog.sciencenet.cn/blog-556556-612015.html"
"233" "R语言：Project Euler Problem 13" 2012-09-12 "1250 次阅读" "http://blog.sciencenet.cn/blog-556556-611912.html"
"234" "R语言：Project Euler Problem 14" 2012-09-11 "1193 次阅读" "http://blog.sciencenet.cn/blog-556556-611690.html"
"235" "EUR/USD-20120911" 2012-09-11 "988 次阅读" "http://blog.sciencenet.cn/blog-556556-611652.html"
"236" "分形最美45" 2012-09-11 "1017 次阅读" "http://blog.sciencenet.cn/blog-556556-611647.html"
"237" "R语言：Project Euler Problem 15" 2012-09-11 "878 次阅读" "http://blog.sciencenet.cn/blog-556556-611537.html"
"238" "R语言：Project Euler Problem 16" 2012-09-10 "1178 次阅读" "http://blog.sciencenet.cn/blog-556556-611185.html"
"239" "EUR/USD-20120910" 2012-09-10 "1057 次阅读" "http://blog.sciencenet.cn/blog-556556-611183.html"
"240" "R语言：Project Euler Problem 17" 2012-09-09 "1343 次阅读" "http://blog.sciencenet.cn/blog-556556-610921.html"
"241" "R语言：Project Euler Problem 18" 2012-09-09 "1243 次阅读" "http://blog.sciencenet.cn/blog-556556-610716.html"
"242" "R语言：Project Euler Problem 19" 2012-09-08 "1435 次阅读" "http://blog.sciencenet.cn/blog-556556-610542.html"
"243" "R语言：Project Euler Problem 20" 2012-09-08 "1119 次阅读" "http://blog.sciencenet.cn/blog-556556-610422.html"
"244" "R语言：Project Euler Problem 21" 2012-09-07 "1122 次阅读" "http://blog.sciencenet.cn/blog-556556-610290.html"
"245" "R语言：Project Euler Problem 8" 2012-09-07 "1330 次阅读" "http://blog.sciencenet.cn/blog-556556-610188.html"
"246" "EUR/USD-20120907" 2012-09-07 "852 次阅读" "http://blog.sciencenet.cn/blog-556556-610159.html"
"247" "分形最美44" 2012-09-07 "920 次阅读" "http://blog.sciencenet.cn/blog-556556-610153.html"
"248" "R语言：Project Euler Problem 7" 2012-09-06 "1527 次阅读" "http://blog.sciencenet.cn/blog-556556-609829.html"
"249" "EUR/USD-20120906" 2012-09-06 "1131 次阅读" "http://blog.sciencenet.cn/blog-556556-609793.html"
"250" "分形最美43" 2012-09-06 "942 次阅读" "http://blog.sciencenet.cn/blog-556556-609791.html"
"251" "EUR/USD-20120905" 2012-09-05 "936 次阅读" "http://blog.sciencenet.cn/blog-556556-609509.html"
"252" "分形最美42" 2012-09-05 "966 次阅读" "http://blog.sciencenet.cn/blog-556556-609491.html"
"253" "R语言：Project Euler Problem 6" 2012-09-05 "1078 次阅读" "http://blog.sciencenet.cn/blog-556556-609459.html"
"254" "EUR/USD-20120904 at night" 2012-09-04 "992 次阅读" "http://blog.sciencenet.cn/blog-556556-609215.html"
"255" "EUR/USD-20120904" 2012-09-04 "972 次阅读" "http://blog.sciencenet.cn/blog-556556-609147.html"
"256" "分形最美41" 2012-09-04 "951 次阅读" "http://blog.sciencenet.cn/blog-556556-609145.html"
"257" "分形最美40" 2012-09-03 "1028 次阅读" "http://blog.sciencenet.cn/blog-556556-608835.html"
"258" "R语言：Project Euler Problem 5" 2012-09-01 "1111 次阅读" "http://blog.sciencenet.cn/blog-556556-608093.html"
"259" "R语言：算术基本定理" 2012-09-01 "1204 次阅读" "http://blog.sciencenet.cn/blog-556556-608045.html"
"260" "R语言：Project Euler--Problem 4" 2012-08-31 "1009 次阅读" "http://blog.sciencenet.cn/blog-556556-607856.html"
"261" "EUR/USD-20120830 at noon" 2012-08-31 "878 次阅读" "http://blog.sciencenet.cn/blog-556556-607764.html"
"262" "R语言：计算分数的精确值" 2012-08-31 "2983 次阅读" "http://blog.sciencenet.cn/blog-556556-607669.html"
"263" "EUR/USD-20120830 at night" 2012-08-30 "977 次阅读" "http://blog.sciencenet.cn/blog-556556-607568.html"
"264" "R语言：新娘和新郞" 2012-08-30 "1098 次阅读" "http://blog.sciencenet.cn/blog-556556-607535.html"
"265" "EUR/USD-20120830" 2012-08-30 "982 次阅读" "http://blog.sciencenet.cn/blog-556556-607503.html"
"266" "分形之美39" 2012-08-30 "1138 次阅读" "http://blog.sciencenet.cn/blog-556556-607500.html"
"267" "R语言：怎样存钱利最大" 2012-08-30 "1987 次阅读" "http://blog.sciencenet.cn/blog-556556-607439.html"
"268" "EUR/USD-20120829-afternoon" 2012-08-29 "998 次阅读" "http://blog.sciencenet.cn/blog-556556-607152.html"
"269" "分形之美38" 2012-08-29 "968 次阅读" "http://blog.sciencenet.cn/blog-556556-607149.html"
"270" "EUR/USD-20120829" 2012-08-29 "1093 次阅读" "http://blog.sciencenet.cn/blog-556556-607087.html"
"271" "R语言：抓交通肇事犯" 2012-08-28 "1563 次阅读" "http://blog.sciencenet.cn/blog-556556-606839.html"
"272" "EUR/USD-20120828" 2012-08-28 "902 次阅读" "http://blog.sciencenet.cn/blog-556556-606814.html"
"273" "分形之美37" 2012-08-28 "1227 次阅读" "http://blog.sciencenet.cn/blog-556556-606780.html"
"274" "EUR/USD-20120828" 2012-08-28 "1069 次阅读" "http://blog.sciencenet.cn/blog-556556-606712.html"
"275" "R语言：尼科彻斯定理" 2012-08-27 "2461 次阅读" "http://blog.sciencenet.cn/blog-556556-606470.html"
"276" "分形之美36" 2012-08-27 "1740 次阅读" "http://blog.sciencenet.cn/blog-556556-606449.html"
"277" "EUR/USD-20120827" 2012-08-27 "1703 次阅读" "http://blog.sciencenet.cn/blog-556556-606440.html"
"278" "R语言：回文数的形成" 2012-08-27 "2792 次阅读" "http://blog.sciencenet.cn/blog-556556-606395.html"
"279" "EUR/USD-20120827" 2012-08-27 "1991 次阅读" "http://blog.sciencenet.cn/blog-556556-606366.html"
"280" "R语言：阶乘尾数零的个数" 2012-08-27 "3351 次阅读" "http://blog.sciencenet.cn/blog-556556-606310.html"
"281" "R语言：可称1~40磅的4块砝码" 2012-08-26 "3237 次阅读" "http://blog.sciencenet.cn/blog-556556-606092.html"
"282" "R语言：求$\pi$的近似值" 2012-08-26 "4456 次阅读" "http://blog.sciencenet.cn/blog-556556-606050.html"
"283" "R语言：歌星大奖赛" 2012-08-26 "2021 次阅读" "http://blog.sciencenet.cn/blog-556556-606038.html"
"284" "[转载]R语言：绘图艺术" 2012-08-25 "3525 次阅读" "http://blog.sciencenet.cn/blog-556556-605918.html"
"285" "[转载]R语言：合并两个图" 2012-08-25 "6188 次阅读" "http://blog.sciencenet.cn/blog-556556-605912.html"
"286" "R语言：素数幻方" 2012-08-25 "3310 次阅读" "http://blog.sciencenet.cn/blog-556556-605774.html"
"287" "R语言：小明买书" 2012-08-24 "2512 次阅读" "http://blog.sciencenet.cn/blog-556556-605687.html"
"288" "EUR/USD-20120824" 2012-08-24 "1547 次阅读" "http://blog.sciencenet.cn/blog-556556-605608.html"
"289" "R语言：选美比赛" 2012-08-24 "1945 次阅读" "http://blog.sciencenet.cn/blog-556556-605468.html"
"290" "要发就发" 2012-08-24 "1920 次阅读" "http://blog.sciencenet.cn/blog-556556-605348.html"
"291" "兎子产子" 2012-08-23 "1212 次阅读" "http://blog.sciencenet.cn/blog-556556-605217.html"
"292" "金融市场的价格波动是等腰三角形的叠加-35" 2012-08-23 "1841 次阅读" "http://blog.sciencenet.cn/blog-556556-605171.html"
"293" "EUR/USD-20120823" 2012-08-23 "1560 次阅读" "http://blog.sciencenet.cn/blog-556556-605167.html"
"294" "满足特异条件的数列" 2012-08-23 "1814 次阅读" "http://blog.sciencenet.cn/blog-556556-605013.html"
"295" "年龄几何" 2012-08-22 "1432 次阅读" "http://blog.sciencenet.cn/blog-556556-604818.html"
"296" "EUR/USD-20120822" 2012-08-22 "1382 次阅读" "http://blog.sciencenet.cn/blog-556556-604813.html"
"297" "委派任务" 2012-08-21 "1216 次阅读" "http://blog.sciencenet.cn/blog-556556-604562.html"
"298" "回文素数" 2012-08-21 "1304 次阅读" "http://blog.sciencenet.cn/blog-556556-604484.html"
"299" "EUR/USD-20120821" 2012-08-21 "1389 次阅读" "http://blog.sciencenet.cn/blog-556556-604473.html"
"300" "金融市场的价格波动是等腰三角形的叠加-34" 2012-08-21 "1517 次阅读" "http://blog.sciencenet.cn/blog-556556-604468.html"
"301" "最大公约数和最小公倍数" 2012-08-21 "1603 次阅读" "http://blog.sciencenet.cn/blog-556556-604264.html"
"302" "谁是窃贼" 2012-08-20 "1350 次阅读" "http://blog.sciencenet.cn/blog-556556-604199.html"
"303" "可逆素数" 2012-08-20 "1440 次阅读" "http://blog.sciencenet.cn/blog-556556-604148.html"
"304" "EUR/USD-20120820" 2012-08-20 "1410 次阅读" "http://blog.sciencenet.cn/blog-556556-604083.html"
"305" "金融市场的价格波动是等腰三角形的叠加-33" 2012-08-20 "1501 次阅读" "http://blog.sciencenet.cn/blog-556556-604080.html"
"306" "求素数" 2012-08-20 "1488 次阅读" "http://blog.sciencenet.cn/blog-556556-603924.html"
"307" "歌德巴赫猜想" 2012-08-19 "1826 次阅读" "http://blog.sciencenet.cn/blog-556556-603743.html"
"308" "求具有abcd=(ab+cd)^2性质的四位数" 2012-08-19 "2619 次阅读" "http://blog.sciencenet.cn/blog-556556-603661.html"
"309" "百钱百鸡问题" 2012-08-18 "2054 次阅读" "http://blog.sciencenet.cn/blog-556556-603502.html"
"310" "1~9组成三个3位的平方数" 2012-08-18 "1814 次阅读" "http://blog.sciencenet.cn/blog-556556-603445.html"
"311" "自守数" 2012-08-17 "1119 次阅读" "http://blog.sciencenet.cn/blog-556556-603207.html"
"312" "金融市场的价格波动是等腰三角形的叠加-32" 2012-08-17 "1464 次阅读" "http://blog.sciencenet.cn/blog-556556-603196.html"
"313" "阿姆斯特朗数" 2012-08-17 "2038 次阅读" "http://blog.sciencenet.cn/blog-556556-603022.html"
"314" "由两个平方三位数获得三个平方二位数" 2012-08-16 "2051 次阅读" "http://blog.sciencenet.cn/blog-556556-602852.html"
"315" "金融市场的价格波动是等腰三角形的叠加-31" 2012-08-16 "1229 次阅读" "http://blog.sciencenet.cn/blog-556556-602830.html"
"316" "EUR/USD-20120816" 2012-08-16 "1251 次阅读" "http://blog.sciencenet.cn/blog-556556-602823.html"
"317" "求车速" 2012-08-16 "1200 次阅读" "http://blog.sciencenet.cn/blog-556556-602640.html"
"318" "EUR/USD-20120815" 2012-08-15 "1067 次阅读" "http://blog.sciencenet.cn/blog-556556-602569.html"
"319" "EUR/USD-20120815" 2012-08-15 "1159 次阅读" "http://blog.sciencenet.cn/blog-556556-602463.html"
"320" "金融市场的价格波动是等腰三角形的叠加-30" 2012-08-15 "1343 次阅读" "http://blog.sciencenet.cn/blog-556556-602462.html"
"321" "一个奇异的三位数" 2012-08-15 "1517 次阅读" "http://blog.sciencenet.cn/blog-556556-602294.html"
"322" "EUR/USD-20120814" 2012-08-14 "1075 次阅读" "http://blog.sciencenet.cn/blog-556556-602242.html"
"323" "金融市场的价格波动是等腰三角形的叠加-29" 2012-08-14 "974 次阅读" "http://blog.sciencenet.cn/blog-556556-602235.html"
"324" "平分七筐鱼" 2012-08-14 "1457 次阅读" "http://blog.sciencenet.cn/blog-556556-601970.html"
"325" "EUR/USD-20120813" 2012-08-13 "1053 次阅读" "http://blog.sciencenet.cn/blog-556556-601818.html"
"326" "金融市场的价格波动是等腰三角形的叠加-28" 2012-08-13 "1006 次阅读" "http://blog.sciencenet.cn/blog-556556-601788.html"
"327" "出售金鱼" 2012-08-13 "1714 次阅读" "http://blog.sciencenet.cn/blog-556556-601717.html"
"328" "捕鱼和分鱼" 2012-08-12 "1741 次阅读" "http://blog.sciencenet.cn/blog-556556-601367.html"
"329" "8除不尽的自然数" 2012-08-12 "1375 次阅读" "http://blog.sciencenet.cn/blog-556556-601353.html"
"330" "有限5位数" 2012-08-11 "1173 次阅读" "http://blog.sciencenet.cn/blog-556556-601169.html"
"331" "亲密数" 2012-08-11 "1285 次阅读" "http://blog.sciencenet.cn/blog-556556-601094.html"
"332" "金融市场的价格波动是等腰三角形的叠加-27" 2012-08-10 "1034 次阅读" "http://blog.sciencenet.cn/blog-556556-600992.html"
"333" "EUR/USD-20120810" 2012-08-10 "1197 次阅读" "http://blog.sciencenet.cn/blog-556556-600905.html"
"334" "回文数" 2012-08-10 "1243 次阅读" "http://blog.sciencenet.cn/blog-556556-600815.html"
"335" "完全数" 2012-08-10 "991 次阅读" "http://blog.sciencenet.cn/blog-556556-600708.html"
"336" "金融市场的价格波动是等腰三角形的叠加-26" 2012-08-09 "922 次阅读" "http://blog.sciencenet.cn/blog-556556-600581.html"
"337" "EUR/USD-20120809" 2012-08-09 "1110 次阅读" "http://blog.sciencenet.cn/blog-556556-600566.html"
"338" "4位反序数" 2012-08-09 "1441 次阅读" "http://blog.sciencenet.cn/blog-556556-600405.html"
"339" "金融市场的价格波动是等腰三角形的叠加-25" 2012-08-08 "1047 次阅读" "http://blog.sciencenet.cn/blog-556556-600268.html"
"340" "EUR/USD-20120808-15:50" 2012-08-08 "939 次阅读" "http://blog.sciencenet.cn/blog-556556-600261.html"
"341" "EUR/USD-20120808-11:36" 2012-08-08 "1168 次阅读" "http://blog.sciencenet.cn/blog-556556-600186.html"
"342" "循环技术PK向量化技术" 2012-08-08 "1780 次阅读" "http://blog.sciencenet.cn/blog-556556-600094.html"
"343" "EUR/USD-20120807" 2012-08-07 "1414 次阅读" "http://blog.sciencenet.cn/blog-556556-599902.html"
"344" "金融市场的价格波动是等腰三角形的叠加-24" 2012-08-07 "1239 次阅读" "http://blog.sciencenet.cn/blog-556556-599898.html"
"345" "向量化处理的好处" 2012-08-07 "1884 次阅读" "http://blog.sciencenet.cn/blog-556556-599750.html"
"346" "EUR/USD-20120806" 2012-08-06 "1140 次阅读" "http://blog.sciencenet.cn/blog-556556-599574.html"
"347" "金融市场的价格波动是等腰三角形的叠加-23" 2012-08-06 "1100 次阅读" "http://blog.sciencenet.cn/blog-556556-599572.html"
"348" "在计算方面，C++和R相比就是个弱智" 2012-08-06 "2107 次阅读" "http://blog.sciencenet.cn/blog-556556-599436.html"
"349" "EUR/USD-20120803" 2012-08-03 "1265 次阅读" "http://blog.sciencenet.cn/blog-556556-598683.html"
"350" "金融市场的价格波动是等腰三角形的叠加-22" 2012-08-03 "938 次阅读" "http://blog.sciencenet.cn/blog-556556-598675.html"
"351" "EUR/USD-20120802" 2012-08-02 "1171 次阅读" "http://blog.sciencenet.cn/blog-556556-598317.html"
"352" "金融市场的价格波动是等腰三角形的叠加-21" 2012-08-02 "1010 次阅读" "http://blog.sciencenet.cn/blog-556556-598295.html"
"353" "0801行情的演变" 2012-08-01 "1255 次阅读" "http://blog.sciencenet.cn/blog-556556-597974.html"
"354" "EUR/USD-20120801" 2012-08-01 "1125 次阅读" "http://blog.sciencenet.cn/blog-556556-597953.html"
"355" "金融市场的价格波动是等腰三角形的叠加-20" 2012-08-01 "1124 次阅读" "http://blog.sciencenet.cn/blog-556556-597946.html"
"356" "假突破变成家常便饭了。" 2012-07-31 "1215 次阅读" "http://blog.sciencenet.cn/blog-556556-597678.html"
"357" "EUR/USD-20120731" 2012-07-31 "1189 次阅读" "http://blog.sciencenet.cn/blog-556556-597658.html"
"358" "金融市场的价格波动是等腰三角形的叠加-19" 2012-07-31 "1015 次阅读" "http://blog.sciencenet.cn/blog-556556-597627.html"
"359" "金融市场的价格波动是等腰三角形的叠加-18" 2012-07-30 "983 次阅读" "http://blog.sciencenet.cn/blog-556556-597345.html"
"360" "前后拼接" 2012-07-30 "1186 次阅读" "http://blog.sciencenet.cn/blog-556556-597294.html"
"361" "EUR/USD-20120727" 2012-07-28 "1275 次阅读" "http://blog.sciencenet.cn/blog-556556-596673.html"
"362" "金融市场的价格波动是等腰三角形的叠加-17" 2012-07-27 "1072 次阅读" "http://blog.sciencenet.cn/blog-556556-596427.html"
"363" "继续昨天的表演，今天上午玩的还是假突破" 2012-07-27 "1262 次阅读" "http://blog.sciencenet.cn/blog-556556-596371.html"
"364" "假突破" 2012-07-26 "1158 次阅读" "http://blog.sciencenet.cn/blog-556556-596188.html"
"365" "金融市场的价格波动是等腰三角形的叠加-16" 2012-07-26 "912 次阅读" "http://blog.sciencenet.cn/blog-556556-596075.html"
"366" "金融市场的价格波动是等腰三角形的叠加-15" 2012-07-25 "1012 次阅读" "http://blog.sciencenet.cn/blog-556556-595684.html"
"367" "金融市场的价格波动是等腰三角形的叠加-14" 2012-07-24 "1049 次阅读" "http://blog.sciencenet.cn/blog-556556-595381.html"
"368" "金融市场的价格波动是等腰三角形的叠加-13" 2012-07-23 "928 次阅读" "http://blog.sciencenet.cn/blog-556556-594964.html"
"369" "遇到这种震荡行情，估计什么模型都失灵了。" 2012-07-21 "1251 次阅读" "http://blog.sciencenet.cn/blog-556556-594235.html"
"370" "金融市场的价格波动是等腰三角形的叠加-12" 2012-07-20 "1142 次阅读" "http://blog.sciencenet.cn/blog-556556-594065.html"
"371" "金融市场的价格波动是等腰三角形的叠加-11" 2012-07-19 "980 次阅读" "http://blog.sciencenet.cn/blog-556556-593763.html"
"372" "金融市场的价格波动是等腰三角形的叠加-10" 2012-07-18 "1012 次阅读" "http://blog.sciencenet.cn/blog-556556-593411.html"
"373" "金融市场的价格波动是等腰三角形的叠加-9" 2012-07-17 "1101 次阅读" "http://blog.sciencenet.cn/blog-556556-593017.html"
"374" "金融市场的价格波动是等腰三角形的叠加-8" 2012-07-16 "922 次阅读" "http://blog.sciencenet.cn/blog-556556-592669.html"
"375" "金融市场的价格波动是等腰三角形的叠加-7" 2012-07-13 "1064 次阅读" "http://blog.sciencenet.cn/blog-556556-591808.html"
"376" "金融市场的价格波动是等腰三角形的叠加-6" 2012-07-12 "1232 次阅读" "http://blog.sciencenet.cn/blog-556556-591511.html"
"377" "金融市场的价格波动是等腰三角形的叠加-5" 2012-07-11 "973 次阅读" "http://blog.sciencenet.cn/blog-556556-591133.html"
"378" "金融市场的价格波动是等腰三角形的叠加-4" 2012-07-10 "1512 次阅读" "http://blog.sciencenet.cn/blog-556556-590788.html"
"379" "金融市场的价格波动是正态分布的叠加3" 2012-07-09 "2476 次阅读" "http://blog.sciencenet.cn/blog-556556-590416.html"
"380" "自相似性" 2012-07-07 "1494 次阅读" "http://blog.sciencenet.cn/blog-556556-589666.html"
"381" "金融市场的价格波动是正态分布的叠加2" 2012-07-06 "1511 次阅读" "http://blog.sciencenet.cn/blog-556556-589495.html"
"382" "金融市场的价格波动是正态分布的叠加1" 2012-07-05 "1763 次阅读" "http://blog.sciencenet.cn/blog-556556-589181.html"
"383" "金融市场的价格波动是正态分布的叠加" 2012-07-04 "2436 次阅读" "http://blog.sciencenet.cn/blog-556556-588958.html"
"384" "白噪声的实际应用" 2011-09-07 "2168 次阅读" "http://blog.sciencenet.cn/blog-556556-483909.html"
"385" "特征函数的可视化" 2011-08-23 "1478 次阅读" "http://blog.sciencenet.cn/blog-556556-478761.html"
"386" "期指5-6合约回顾" 2011-06-18 "1510 次阅读" "http://blog.sciencenet.cn/blog-556556-456690.html"
"387" "集与集类" 2011-05-20 "2099 次阅读" "http://blog.sciencenet.cn/blog-556556-446274.html"
"388" "欧元昨日的暴跌验证了4月29日的预测" 2011-05-06 "1360 次阅读" "http://blog.sciencenet.cn/blog-556556-441016.html"
"389" "经过一个多月的等待，伦敦金终于到达了预测点位1518" 2011-04-25 "1499 次阅读" "http://blog.sciencenet.cn/blog-556556-437187.html"
"390" "看图总比看符号容易些" 2011-04-13 "1347 次阅读" "http://blog.sciencenet.cn/blog-556556-432853.html"
"391" "动态均衡，天机显现" 2011-04-09 "1393 次阅读" "http://blog.sciencenet.cn/blog-556556-431223.html"
"392" "又见对称" 2011-03-30 "1215 次阅读" "http://blog.sciencenet.cn/blog-556556-428054.html"
"393" "" 2011-03-29 "3389 次阅读" "http://blog.sciencenet.cn/blog.php?mod=recommend"
"394" "分享" 2011-03-24 "1556 次阅读" "http://blog.sciencenet.cn/http://blog.sciencenet.cn/home.php?mod=spacecp&ac=share&type=blog&id=425691&handlekey=lsbloghk_425691"
"395" "分享" 2011-03-23 "904 次阅读" "http://blog.sciencenet.cn/http://blog.sciencenet.cn/home.php?mod=spacecp&ac=share&type=blog&id=425555&handlekey=lsbloghk_425555"
"396" NA 2011-04-09 "1393 次阅读" "http://blog.sciencenet.cn/NA"
"397" NA 2011-03-30 "1215 次阅读" "http://blog.sciencenet.cn/NA"
"398" NA 2011-03-29 "3389 次阅读" "http://blog.sciencenet.cn/NA"
"399" NA 2011-03-24 "1556 次阅读" "http://blog.sciencenet.cn/NA"
"400" NA 2011-03-23 "904 次阅读" "http://blog.sciencenet.cn/NA"
